time,latitude,longitude,magnitude
2019-05-01 19:30:20.515,37.9968,-118.4123,3.9
2019-05-07 04:58:38.613,39.7889,-117.4933,3.9
2019-05-10 12:58:56.637,38.3584,-118.1793,3.6
2019-05-21 17:19:52.890,40.6948333,-123.9636667,3.78
2019-05-23 09:53:48.233,38.396,-116.6339,4.2
2019-06-02 01:52:35.288,37.2167,-115.0111,3.5
2019-06-04 01:44:21.280,38.8336667,-122.7973333,3.88
2019-06-05 10:47:18.800,32.8228333,-118.4828333,4.28
2019-06-05 14:32:09.580,32.8376667,-118.5031667,4.3
2019-06-07 04:49:46.740,39.2579,-119.7235,3.7
2019-06-11 07:24:20.720,37.4696,-116.6956,4.1
2019-06-11 07:46:25.470,38.8136667,-122.8233333,4.07
2019-06-13 00:07:33.670,34.0736667,-119.0398333,3.74
2019-06-23 03:53:02.890,40.2735,-124.3003333,5.58
2019-06-23 22:39:10.810,40.3198333,-124.8655,3.87
2019-06-30 23:43:36.868,37.7874,-114.3137,4.2
2019-07-04 17:02:55.340,35.7081667,-117.5036667,3.98
2019-07-04 17:33:49.000,35.7053333,-117.5038333,6.4
2019-07-04 17:35:01.660,35.644,-117.5671667,4.49
2019-07-04 17:35:17.430,35.6886667,-117.474,3.93
2019-07-04 17:35:46.340,35.6936667,-117.437,3.63
2019-07-04 17:35:52.170,35.687,-117.5061667,4.28
2019-07-04 17:36:04.360,35.7341667,-117.5741667,3.94
2019-07-04 17:37:01.140,35.7105,-117.4773333,3.66
2019-07-04 17:37:14.850,35.6655,-117.516,3.97
2019-07-04 17:37:25.640,35.6758333,-117.4575,4.01
2019-07-04 17:37:55.500,35.7456667,-117.5516667,3.86
2019-07-04 17:38:21.450,35.714,-117.476,3.73
2019-07-04 17:38:47.500,35.6215,-117.5782,3.5
2019-07-04 17:38:47.760,35.6235,-117.596,3.5
2019-07-04 17:39:35.360,35.6876667,-117.4931667,3.69
2019-07-04 17:40:02.250,35.7253333,-117.5708333,3.8
